ID,Job,Route,Direction,Stop,Date,Scheduled,Actual,Different,Status
62616,1703R,Route 17 (Route 1 Ride),Northbound,Ikea at Bus Bay 3,2021-02-01 00:00:00,1970-01-01 14:05:00,1970-01-01 14:22:11,-00:17:11,late
62616,1703R,Route 17 (Route 1 Ride),Southbound,Ikea at Bus Bay 3,2021-02-01 00:00:00,1970-01-01 14:15:00,1970-01-01 14:22:37,-00:07:37,late
62616,1703R,Route 17 (Route 1 Ride),Southbound,Baltimore Ave at Lakeland Rd,2021-02-01 00:00:00,1970-01-01 14:30:00,1970-01-01 14:31:38,-00:01:38,ontime
62616,1703R,Route 17 (Route 1 Ride),Southbound,College Park Metro Station - Bus Bay T8,2021-02-01 00:00:00,1970-01-01 14:34:00,1970-01-01 14:38:33,-00:04:33,ontime
62616,1703R,Route 17 (Route 1 Ride),Southbound,Baltimore Ave at East-West Hwy,2021-02-01 00:00:00,1970-01-01 14:41:00,1970-01-01 14:44:47,-00:03:47,ontime
62616,1703R,Route 17 (Route 1 Ride),Southbound,Rhode Island Ave at County Service Building - SB,2021-02-01 00:00:00,1970-01-01 14:45:00,1970-01-01 14:49:14,-00:04:14,ontime
62616,1703R,Route 17 (Route 1 Ride),Southbound,Mt Rainier Terminal - Arrival,2021-02-01 00:00:00,1970-01-01 14:51:00,1970-01-01 14:55:34,-00:04:34,ontime
62616,1703R,Route 17 (Route 1 Ride),Northbound,Rhode Island (US RTE 1) at Mount Rainer Terminal,2021-02-01 00:00:00,1970-01-01 15:00:00,1970-01-01 14:57:08,1970-01-01 00:02:52,early
62616,1703R,Route 17 (Route 1 Ride),Northbound,Rhode Island Ave at County Service Building - NB,2021-02-01 00:00:00,1970-01-01 15:06:00,1970-01-01 15:03:01,1970-01-01 00:02:58,early
62616,1703R,Route 17 (Route 1 Ride),Northbound,Baltimore Ave at East-West Hwy,2021-02-01 00:00:00,1970-01-01 15:09:00,1970-01-01 15:05:36,1970-01-01 00:03:23,early
62616,1703R,Route 17 (Route 1 Ride),Northbound,College Park Metro Station - Bus Bay T8,2021-02-01 00:00:00,1970-01-01 15:17:00,1970-01-01 15:10:39,1970-01-01 00:06:21,early
62616,1703R,Route 17 (Route 1 Ride),Northbound,Baltimore Ave at Lakeland Rd,2021-02-01 00:00:00,1970-01-01 15:21:00,1970-01-01 15:17:10,1970-01-01 00:03:50,early
62616,1703R,Route 17 (Route 1 Ride),Northbound,Ikea at Bus Bay 3,2021-02-01 00:00:00,1970-01-01 15:35:00,1970-01-01 15:26:01,1970-01-01 00:08:58,early
62616,1703R,Route 17 (Route 1 Ride),Northbound,Ikea at Bus Bay 3,2021-02-01 00:00:00,1970-01-01 15:35:00,1970-01-01 16:05:04,-00:30:04,late
62616,1703R,Route 17 (Route 1 Ride),Southbound,Ikea at Bus Bay 3,2021-02-01 00:00:00,1970-01-01 16:00:00,1970-01-01 16:05:33,-00:05:33,ontime
62616,1703R,Route 17 (Route 1 Ride),Southbound,Baltimore Ave at Lakeland Rd,2021-02-01 00:00:00,1970-01-01 16:15:00,1970-01-01 16:15:21,-00:00:21,ontime
62616,1703R,Route 17 (Route 1 Ride),Southbound,College Park Metro Station - Bus Bay T8,2021-02-01 00:00:00,1970-01-01 16:19:00,1970-01-01 16:22:22,-00:03:22,ontime
62637,1703,Route 17 (Route 1 Ride),Southbound,Ikea at Bus Bay 3,2021-02-01 00:00:00,1970-01-01 06:00:00,1970-01-01 06:03:29,-00:03:29,ontime
62637,1703,Route 17 (Route 1 Ride),Southbound,Baltimore Ave at Lakeland Rd,2021-02-01 00:00:00,1970-01-01 06:15:00,1970-01-01 06:13:28,1970-01-01 00:01:31,early
62637,1703,Route 17 (Route 1 Ride),Southbound,College Park Metro Station - Bus Bay T8,2021-02-01 00:00:00,1970-01-01 06:19:00,1970-01-01 06:21:02,-00:02:02,ontime
62637,1703,Route 17 (Route 1 Ride),Southbound,Baltimore Ave at East-West Hwy,2021-02-01 00:00:00,1970-01-01 06:26:00,1970-01-01 06:29:01,-00:03:01,ontime
62637,1703,Route 17 (Route 1 Ride),Southbound,Rhode Island Ave at County Service Building - SB,2021-02-01 00:00:00,1970-01-01 06:30:00,1970-01-01 06:32:29,-00:02:29,ontime
62637,1703,Route 17 (Route 1 Ride),Southbound,Mt Rainier Terminal - Arrival,2021-02-01 00:00:00,1970-01-01 06:36:00,1970-01-01 06:37:54,-00:01:54,ontime
62637,1703,Route 17 (Route 1 Ride),Northbound,Rhode Island (US RTE 1) at Mount Rainer Terminal,2021-02-01 00:00:00,1970-01-01 07:00:00,1970-01-01 07:00:17,-00:00:17,ontime
62637,1703,Route 17 (Route 1 Ride),Northbound,Rhode Island Ave at County Service Building - NB,2021-02-01 00:00:00,1970-01-01 07:07:00,1970-01-01 07:05:05,1970-01-01 00:01:54,early
62637,1703,Route 17 (Route 1 Ride),Northbound,Baltimore Ave at East-West Hwy,2021-02-01 00:00:00,1970-01-01 07:10:00,1970-01-01 07:11:20,-00:01:20,ontime
62637,1703,Route 17 (Route 1 Ride),Northbound,College Park Metro Station - Bus Bay T8,2021-02-01 00:00:00,1970-01-01 07:18:00,1970-01-01 07:16:56,1970-01-01 00:01:03,early
62637,1703,Route 17 (Route 1 Ride),Northbound,Baltimore Ave at Lakeland Rd,2021-02-01 00:00:00,1970-01-01 07:22:00,1970-01-01 07:24:08,-00:02:08,ontime
62637,1703,Route 17 (Route 1 Ride),Northbound,Ikea at Bus Bay 3,2021-02-01 00:00:00,1970-01-01 07:36:00,1970-01-01 08:02:42,-00:26:42,late
62637,1703,Route 17 (Route 1 Ride),Southbound,Ikea at Bus Bay 3,2021-02-01 00:00:00,1970-01-01 08:00:00,1970-01-01 08:04:07,-00:04:07,ontime
62637,1703,Route 17 (Route 1 Ride),Southbound,Baltimore Ave at Lakeland Rd,2021-02-01 00:00:00,1970-01-01 08:15:00,1970-01-01 08:11:16,1970-01-01 00:03:43,early
62637,1703,Route 17 (Route 1 Ride),Southbound,College Park Metro Station - Bus Bay T8,2021-02-01 00:00:00,1970-01-01 08:19:00,1970-01-01 08:18:16,1970-01-01 00:00:43,early
62637,1703,Route 17 (Route 1 Ride),Southbound,Baltimore Ave at East-West Hwy,2021-02-01 00:00:00,1970-01-01 08:26:00,1970-01-01 08:23:46,1970-01-01 00:02:13,early
62637,1703,Route 17 (Route 1 Ride),Southbound,Rhode Island Ave at County Service Building - SB,2021-02-01 00:00:00,1970-01-01 08:30:00,1970-01-01 08:27:20,1970-01-01 00:02:40,early
62637,1703,Route 17 (Route 1 Ride),Southbound,Mt Rainier Terminal - Arrival,2021-02-01 00:00:00,1970-01-01 08:36:00,1970-01-01 08:31:42,1970-01-01 00:04:17,early
62637,1703,Route 17 (Route 1 Ride),Northbound,Rhode Island (US RTE 1) at Mount Rainer Terminal,2021-02-01 00:00:00,1970-01-01 09:00:00,1970-01-01 09:01:49,-00:01:49,ontime
62637,1703,Route 17 (Route 1 Ride),Northbound,Rhode Island Ave at County Service Building - NB,2021-02-01 00:00:00,1970-01-01 09:06:00,1970-01-01 09:06:02,-00:00:02,ontime
