ID,Job,Route,Direction,Stop,Date,Scheduled,Actual,Different,Status
Vehicle: 62616,2004,Route 20,Westbound,County Administration Building,2021-02-25 00:00:00,1970-01-01 06:30:00,1970-01-01 06:32:48,-00:02:48,ontime
Vehicle: 62616,2004,Route 20,Westbound,Courthouse,2021-02-25 00:00:00,1970-01-01 08:32:00,1970-01-01 08:31:10,1970-01-01 00:00:49,early
Vehicle: 62616,2004,Route 20,Eastbound,Courthouse,2021-02-25 00:00:00,1970-01-01 10:19:00,1970-01-01 10:19:36,-00:00:36,ontime
Vehicle: 62616,3602R,Route 36,Southbound,Timothy Branch Dr at Safeway Ent,2021-02-25 00:00:00,1970-01-01 15:26:00,1970-01-01 15:31:31,-00:05:31,ontime
Vehicle: 62616,3602R,Route 36,Northbound,Matapeake Business Dr at Target Store,2021-02-25 00:00:00,1970-01-01 15:45:00,1970-01-01 15:52:59,-00:07:59,late
Vehicle: 62616,3602R,Route 36,Northbound,Brandywine Rd & Gwynn Park High School,2021-02-25 00:00:00,1970-01-01 15:53:00,1970-01-01 16:03:58,-00:10:58,late
Vehicle: 62616,3602R,Route 36,Northbound,Brandywine Rd at Groveton Dr,2021-02-25 00:00:00,1970-01-01 16:01:00,1970-01-01 16:10:35,-00:09:35,late
Vehicle: 62616,3602R,Route 36,Northbound,Brandywine Road @ Surrats Road,2021-02-25 00:00:00,1970-01-01 16:07:00,1970-01-01 16:14:10,-00:07:10,late
Vehicle: 62616,3602R,Route 36,Northbound,Clinton Fringe Parking Lot,2021-02-25 00:00:00,1970-01-01 17:42:00,1970-01-01 16:38:14,1970-01-01 01:03:45,early
Vehicle: 62616,3602R,Route 36,Southbound,Brandywine Road at Surrats Road,2021-02-25 00:00:00,1970-01-01 16:35:00,1970-01-01 16:50:07,-00:15:07,late
Vehicle: 62616,3602R,Route 36,Southbound,Brandywine Rd at Groveton Dr,2021-02-25 00:00:00,1970-01-01 16:40:00,1970-01-01 16:54:28,-00:14:28,late
Vehicle: 62616,3602R,Route 36,Southbound,Brandywine Rd & Gwynn Park High School,2021-02-25 00:00:00,1970-01-01 16:49:00,1970-01-01 17:01:52,-00:12:52,late
Vehicle: 62616,3602R,Route 36,Southbound,Timothy Branch Dr at Safeway Ent,2021-02-25 00:00:00,1970-01-01 16:56:00,1970-01-01 17:11:10,-00:15:10,late
Vehicle: 62616,3602R,Route 36,Northbound,Matapeake Business Dr at Target Store,2021-02-25 00:00:00,1970-01-01 17:15:00,1970-01-01 17:28:58,-00:13:58,late
Vehicle: 62616,3602R,Route 36,Northbound,Brandywine Rd at Groveton Dr,2021-02-25 00:00:00,1970-01-01 17:31:00,1970-01-01 17:39:14,-00:08:14,late
