ID,Job,Route,Direction,Stop,Date,Scheduled,Actual,Different,Status
Vehicle: 62618n,3402R,Route 34,To Suitland Metrorail Station,4258 Whitehall Square Apts,2021-02-05,1970-01-01 17:25:00,1970-01-01 17:27:14,-00:02:14,ontime
Vehicle: 62618n,3402R,Route 34,To Suitland Metrorail Station,3930 Capitol Crossing Apts,2021-02-05,1970-01-01 17:32:00,1970-01-01 17:32:12,-00:00:12,ontime
Vehicle: 62618n,3402R,Route 34,To Suitland Metrorail Station,4258 Whitehall Square Apts,2021-02-05,1970-01-01 17:55:00,1970-01-01 18:01:07,-00:06:07,ontime
Vehicle: 62618n,3402R,Route 34,To Suitland Metrorail Station,3930 Capitol Crossing Apts,2021-02-05,1970-01-01 18:02:00,1970-01-01 18:06:00,-00:04:00,ontime
Vehicle: 62618n,,,,,2021-02-05,,,,
Vehicle: 62618n,,,,,2021-02-05,,,,
Vehicle: 62621n,Vehicle: 62621n,,,,2021-02-05,,,,
,,,,,2021-02-05,,,,
Vehicle: 62621n,3401,Route 34,to Capital Crossing Apartments,Suitland Metrorail Station Bay D,2021-02-05,1970-01-01 06:00:00,1970-01-01 06:01:37,-00:01:37,ontime
Vehicle: 62621n,3401,Route 34,To Suitland Metrorail Station,3930 Capitol Crossing Apts,2021-02-05,1970-01-01 06:11:00,1970-01-01 06:09:05,1970-01-01 00:01:54,early
Vehicle: 62621n,3401,Route 34,To Suitland Metrorail Station,4258 Whitehall Square Apts,2021-02-05,1970-01-01 06:17:00,1970-01-01 06:18:26,-00:01:26,ontime
Vehicle: 62621n,3401,Route 34,To Suitland Metrorail Station,Suitland Metro - Arrival,2021-02-05,1970-01-01 06:27:00,1970-01-01 06:31:21,-00:04:21,ontime
Vehicle: 62621n,3401,Route 34,to Capital Crossing Apartments,Suitland Metrorail Station Bay D,2021-02-05,1970-01-01 06:30:00,1970-01-01 06:31:29,-00:01:29,ontime
Vehicle: 62621n,3401,Route 34,To Suitland Metrorail Station,3930 Capitol Crossing Apts,2021-02-05,1970-01-01 06:41:00,1970-01-01 06:42:57,-00:01:57,ontime
Vehicle: 62621n,3401,Route 34,To Suitland Metrorail Station,4258 Whitehall Square Apts,2021-02-05,1970-01-01 06:47:00,1970-01-01 06:50:12,-00:03:12,ontime
Vehicle: 62621n,3401,Route 34,To Suitland Metrorail Station,Suitland Metro - Arrival,2021-02-05,1970-01-01 06:57:00,1970-01-01 07:01:20,-00:04:20,ontime
Vehicle: 62621n,3401,Route 34,to Capital Crossing Apartments,Suitland Metrorail Station Bay D,2021-02-05,1970-01-01 07:00:00,1970-01-01 07:07:31,-00:07:31,late
