ID,Job,Route,Direction,Stop,Date,Scheduled,Actual,Different,Status
Vehicle: 92918n,6605R,Route 66,Northbound,Matapeake Business Dr at Target Store,2021-02-04,1970-01-01 15:45:00,1970-01-01 15:45:35,-00:00:35,ontime
Vehicle: 92918n,6605R,Route 66,Northbound,Brandywine Rd & Gwynn Park High School,2021-02-04,1970-01-01 15:53:00,1970-01-01 15:53:14,-00:00:14,ontime
Vehicle: 92918n,6605R,Route 66,Northbound,Brandywine Rd at Groveton Dr,2021-02-04,1970-01-01 16:01:00,1970-01-01 16:01:03,-00:00:03,ontime
Vehicle: 92918n,6605R,Route 66,Northbound,Brandywine Road @ Surrats Road,2021-02-04,1970-01-01 16:07:00,1970-01-01 16:07:12,-00:00:12,ontime
Vehicle: 92918n,6605R,Route 66,Southbound,Clinton Fringe Parking Lot,2021-02-04,1970-01-01 16:30:00,1970-01-01 16:32:52,-00:02:52,ontime
Vehicle: 92918n,6605R,Route 66,Southbound,Brandywine Road at Surrats Road,2021-02-04,1970-01-01 16:35:00,1970-01-01 16:37:08,-00:02:08,ontime
Vehicle: 92918n,6605R,Route 66,Southbound,Brandywine Rd at Groveton Dr,2021-02-04,1970-01-01 16:40:00,1970-01-01 16:41:09,-00:01:09,ontime
Vehicle: 92918n,6605R,Route 66,Southbound,Brandywine Rd & Gwynn Park High School,2021-02-04,1970-01-01 16:49:00,1970-01-01 16:47:21,1970-01-01 00:01:38,early
Vehicle: 92918n,6605R,Route 66,Southbound,Timothy Branch Dr at Safeway Ent,2021-02-04,1970-01-01 16:56:00,1970-01-01 16:56:08,-00:00:08,ontime
Vehicle: 92918n,6605R,Route 66,Northbound,Matapeake Business Dr at Target Store,2021-02-04,1970-01-01 17:15:00,1970-01-01 17:15:23,-00:00:23,ontime
Vehicle: 92918n,6605R,Route 66,Northbound,Brandywine Rd & Gwynn Park High School,2021-02-04,1970-01-01 17:23:00,1970-01-01 17:23:12,-00:00:12,ontime
Vehicle: 92918n,6605R,Route 66,Northbound,Brandywine Rd at Groveton Dr,2021-02-04,1970-01-01 17:31:00,1970-01-01 17:31:08,-00:00:08,ontime
Vehicle: 92918n,6605R,Route 66,Northbound,Brandywine Road @ Surrats Road,2021-02-04,1970-01-01 17:37:00,1970-01-01 17:37:15,-00:00:15,ontime
Vehicle: 92918n,6605R,Route 66,Southbound,Clinton Fringe Parking Lot,2021-02-04,1970-01-01 18:00:00,1970-01-01 18:02:55,-00:02:55,ontime
Vehicle: 92918n,6605R,Route 66,Southbound,Brandywine Road at Surrats Road,2021-02-04,1970-01-01 18:05:00,1970-01-01 18:07:41,-00:02:41,ontime
Vehicle: 92918n,6605R,Route 66,Southbound,Brandywine Rd at Groveton Dr,2021-02-04,1970-01-01 18:10:00,1970-01-01 18:11:20,-00:01:20,ontime
Vehicle: 92918n,6605R,Route 66,Southbound,Brandywine Rd & Gwynn Park High School,2021-02-04,1970-01-01 18:19:00,1970-01-01 18:18:51,1970-01-01 00:00:08,early
Vehicle: 92918n,6605R,Route 66,Southbound,Timothy Branch Dr at Safeway Ent,2021-02-04,1970-01-01 18:26:00,1970-01-01 18:26:26,-00:00:26,ontime
Vehicle: 92918n,,,,,2021-02-04,,,,
Vehicle: 92918n,,,,,2021-02-04,,,,
