ID,Job,Route,Direction,Stop,Date,Scheduled,Actual,Different,Status
Vehicle: 92919,5006R,Route 50,Westbound,Old Marlboro Pike at Roblee Dr,2021-02-16 00:00:00,1970-01-01 16:14:00,1970-01-01 16:19:15,-00:05:15,ontime
Vehicle: 92919,5006R,Route 50,Westbound,Marlboro Pike at Melwood Mall,2021-02-16 00:00:00,1970-01-01 16:21:00,1970-01-01 16:23:16,-00:02:16,ontime
Vehicle: 92919,5006R,Route 50,Westbound,Melwood Training Center,2021-02-16 00:00:00,1970-01-01 16:26:00,1970-01-01 16:25:54,1970-01-01 00:00:05,early
Vehicle: 92919,5006R,Route 50,Westbound,Donnell Dr at Marlboro Pike,2021-02-16 00:00:00,1970-01-01 16:38:00,1970-01-01 16:41:23,-00:03:23,ontime
Vehicle: 92919,5006R,Route 50,Westbound,Addison Rd Metrorail - Arrival,2021-02-16 00:00:00,1970-01-01 16:50:00,1970-01-01 16:50:34,-00:00:34,ontime
Vehicle: 92919,5006R,Route 50,Eastbound,Addison Rd Metrorail Station,2021-02-16 00:00:00,1970-01-01 17:00:00,1970-01-01 16:51:07,1970-01-01 00:08:53,early
Vehicle: 92919,5006R,Route 50,Eastbound,Donnell Drive at Target Store,2021-02-16 00:00:00,1970-01-01 17:11:00,1970-01-01 17:20:08,-00:09:08,late
Vehicle: 92919,5006R,Route 50,Eastbound,Melwood Training Center,2021-02-16 00:00:00,1970-01-01 17:24:00,1970-01-01 17:30:09,-00:06:09,ontime
Vehicle: 92919,5006R,Route 50,Eastbound,Marlboro Pike at Melwood Mall,2021-02-16 00:00:00,1970-01-01 17:28:00,1970-01-01 17:34:26,-00:06:26,ontime
Vehicle: 92919,5006R,Route 50,Eastbound,Old Marlboro Pike at Roblee Dr,2021-02-16 00:00:00,1970-01-01 17:36:00,1970-01-01 17:38:41,-00:02:41,ontime
