ID,Job,Route,Direction,Stop,Date,Scheduled,Actual,Different,Status
62616,3502,Route 35,Loop,Southern Ave Metro Rail Station at Bus Bay F,2021-02-02 00:00:00,1970-01-01 06:30:00,1970-01-01 06:31:39,-00:01:39,ontime
62616,3502,Route 35,Loop,Oxon Hill Fringe Parking Lot Bus Bay B,2021-02-02 00:00:00,1970-01-01 06:44:00,1970-01-01 06:48:12,-00:04:12,ontime
62616,3502,Route 35,Loop,Stars Entrance Gaylord Hotel at National Harbor Blvd,2021-02-02 00:00:00,1970-01-01 06:53:00,1970-01-01 06:58:09,-00:05:09,ontime
62616,3502,Route 35,Loop,Oxon Hill Fringe Parking Lot at Bus Bay F,2021-02-02 00:00:00,1970-01-01 07:03:00,1970-01-01 07:07:50,-00:04:50,ontime
62616,3502,Route 35,Loop,Oxon Hill Rd at 6192 Oxon Hill Rd,2021-02-02 00:00:00,1970-01-01 07:08:00,1970-01-01 07:10:57,-00:02:57,ontime
62616,3502,Route 35,Loop,Padgett's Corner,2021-02-02 00:00:00,1970-01-01 07:36:00,1970-01-01 07:32:38,1970-01-01 00:03:22,early
62616,3502,Route 35,Loop,Oxon Hill Rd at Rivertown Commons(6135),2021-02-02 00:00:00,1970-01-01 07:58:00,1970-01-01 07:56:56,1970-01-01 00:01:04,early
62616,3502,Route 35,Loop,Oxon Hill Rd at Oxon Hill Fringe Parking Lot,2021-02-02 00:00:00,1970-01-01 08:03:00,1970-01-01 08:02:26,1970-01-01 00:00:33,early
62616,3502,Route 35,Loop,Southern Ave Metro Rail Station at Bus Bay F,2021-02-02 00:00:00,1970-01-01 08:18:00,1970-01-01 08:15:32,1970-01-01 00:02:27,early
62616,3502,Route 35,Loop,Southern Ave Metro Rail Station at Bus Bay F,2021-02-02 00:00:00,1970-01-01 08:18:00,1970-01-01 08:29:55,-00:11:55,late
62616,3502,Route 35,Loop,Southern Ave Metro Rail Station at Bus Bay F,2021-02-02 00:00:00,1970-01-01 08:30:00,1970-01-01 08:29:58,1970-01-01 00:00:01,early
62616,3502,Route 35,Loop,Oxon Hill Fringe Parking Lot Bus Bay B,2021-02-02 00:00:00,1970-01-01 08:44:00,1970-01-01 08:46:06,-00:02:06,ontime
62616,3502,Route 35,Loop,Stars Entrance Gaylord Hotel at National Harbor Blvd,2021-02-02 00:00:00,1970-01-01 08:53:00,1970-01-01 08:54:49,-00:01:49,ontime
62616,3502,Route 35,Loop,Oxon Hill Fringe Parking Lot at Bus Bay F,2021-02-02 00:00:00,1970-01-01 09:03:00,1970-01-01 09:02:02,1970-01-01 00:00:57,early
62616,3502,Route 35,Loop,Oxon Hill Rd at 6192 Oxon Hill Rd,2021-02-02 00:00:00,1970-01-01 09:08:00,1970-01-01 09:05:24,1970-01-01 00:02:35,early
62616,3502,Route 35,Loop,Padgett's Corner,2021-02-02 00:00:00,1970-01-01 09:36:00,1970-01-01 09:36:12,-00:00:12,ontime
62616,3502,Route 35,Loop,Oxon Hill Rd at Rivertown Commons(6135),2021-02-02 00:00:00,1970-01-01 09:58:00,1970-01-01 09:53:44,1970-01-01 00:04:15,early
